iter	Passed	Remaining
0	12	2409
1	23	2311
2	32	2122
3	48	2384
4	53	2075
5	56	1813
6	66	1831
7	75	1805
8	81	1732
9	96	1825
10	103	1770111	111	1746112	117	1690113	128	1712
14	131	1619115	149	1714
16	153	1652
17	163	1650
18	172	1641
19	180	1628
20	187	1601
21	199	1613
22	211	1627
23	222	1635
24	232	1630
25	242	1620
26	245	1570
27	251	1546
28	258	1521
29	267	1514
30	274	1495
31	285	1496
32	296	1498
33	297	1454334	318	1501
35	341	1554
36	350	1542
37	363	1550
38	373	1540
39	392	1568
40	394	1530
41	396	1493
42	399	145743	406	1442
444	458	1579
45	473	1585
46	482	1569
47	496	1573
48	507	1562
49	520	1561
50	533	1558
51	535	1525
52	559	1550
53	574	1552
54	592	1561
55	599	1542
56	613	1537
57	639	1566
58	643	1537
59	663	1548
60	665	1517
61	684	1523
62	686	1492
63	708	1505
64	726	1508
65	732	1486
66	745	1479
67	761	1478
68	765	1454
69	779	1447
70	787	1430
71	799	1422
72	801	1395
73	827	1409
74	837	1395
75	854	1394
76	860	1375
77	867	1357
78	877	1343
79	889	1334
80	906	1332
81	908	1307
82	933	1316
83	943	1302
84	956	1293
85	958	1270
86	983	1277
87	994	1266
88	1004	1253
89	1009	1234
90	1017	1218
91	1019	1196
92	1043	1200
93	1065	1201
94	1070	1183
95	1072	1162
96	1076	1142
97	1088	1132
98	1096	1118
99	1102	1102
100	1110	1088
101	1119	1075
102	1126	1060
103	1134	1047
104	1140	1031
105	1146	1016
106	1157	1006
107	1165	993
108	1176	982
109	1183	968
110	1192	956
111	1203	945
112	1216	936
113	1218	919
114	1298	959
115	1300	941
116	1308	928
117	1327	922
118	1334	908
119	1349	899
120	1365	891
121	1370	876
122	1374	860
123	1382	847
124	1391	834
125	1400	822
126	1402	806
127	1405	790
128	1427	785
129	1429	769
130	1442	759
131	1458	751
132	1461	736
133	1468	723
134	1478	711
135	1495	703
136	1497	688
137	1518	682
138	1524	668
139	1526	654
140	1529	639
141	1560	637
142	1569	625
143	1583	615
144	1588	602
145	1604	593
146	1606	579
147	1608	565
148	1652	565
149	1661	553
150	1683	546
151	1695	535
152	1698	521
153	1724	514
154	1726	501
155	1768	498
156	1771	485
157	1774	471
158	1804	465
159	1807	451
160	1845	447
161	1858	435
162	1869	424
163	1879	412
164	1894	401
165	1903	389
166	1941	383
167	1946	370
168	1959	359
169	1962	346
170	1994	338
171	2004	326
172	2007	313
173	2018	301
174	2028	289
175	2038	278
176	2043	265
177	2046	252
178	2060	241
179	2071	230
180	2080	218
181	2091	206
182	2095	194
183	2101	182
184	2103	170
185	2116	159
186	2126	147
187	2132	136
188	2149	125
189	2160	113
190	2162	101
191	2174	90
192	2184	79
193	2195	67
194	2199	56
195	2206	45
196	2217	33
197	2223	22
198	2235	11
199	2247	0
